store_budget,scale,policy,conv_tokens,ratio,strict,answer,stored,n_streams
1024,1,RAG store-all,18586.8,18.151171875,4.322200392927308,9.090909090909092,1005.2,10
1024,1,P1-S select (drop),18586.8,18.151171875,5.566470203012443,15.664335664335665,1005.9,10
1024,1,P1-A adaptive (compress),18586.8,18.151171875,9.102815979043877,10.909090909090908,1001.5,10
1024,2,RAG store-all,37173.6,36.30234375,2.357563850687623,5.874125874125874,998.6,5
1024,2,P1-S select (drop),37173.6,36.30234375,2.226588081204977,10.48951048951049,995.8,5
1024,2,P1-A adaptive (compress),37173.6,36.30234375,4.191224623444663,6.433566433566433,1005.6,5
1024,5,RAG store-all,92934.0,90.755859375,1.0478061558611658,4.895104895104895,1006.0,2
1024,5,P1-S select (drop),92934.0,90.755859375,1.2442698100851344,7.1328671328671325,1020.0,2
1024,5,P1-A adaptive (compress),92934.0,90.755859375,2.161100196463654,5.874125874125874,1007.0,2
1024,10,RAG store-all,185868.0,181.51171875,0.5239030779305829,3.4965034965034967,1004.0,1
1024,10,P1-S select (drop),185868.0,181.51171875,0.5239030779305829,5.454545454545454,1004.0,1
1024,10,P1-A adaptive (compress),185868.0,181.51171875,1.1132940406024885,3.4965034965034967,999.0,1
2048,1,RAG store-all,18586.8,9.0755859375,10.085134250163721,18.321678321678323,2030.6,10
2048,1,P1-S select (drop),18586.8,9.0755859375,10.870988867059594,26.293706293706293,2025.0,10
2048,1,P1-A adaptive (compress),18586.8,9.0755859375,19.58087753765553,23.356643356643357,2022.0,10
2048,2,RAG store-all,37173.6,18.151171875,4.387688277668631,10.76923076923077,2033.4,5
2048,2,P1-S select (drop),37173.6,18.151171875,5.893909626719057,18.181818181818183,2028.8,5
2048,2,P1-A adaptive (compress),37173.6,18.151171875,8.578912901113293,14.685314685314685,1983.4,5
2048,5,RAG store-all,92934.0,45.3779296875,1.9646365422396856,7.8321678321678325,2031.0,2
2048,5,P1-S select (drop),92934.0,45.3779296875,2.4885396201702688,11.748251748251748,2041.5,2
2048,5,P1-A adaptive (compress),92934.0,45.3779296875,3.994760969220694,11.188811188811188,2041.0,2
2048,10,RAG store-all,185868.0,90.755859375,0.7858546168958742,4.615384615384616,2045.0,1
2048,10,P1-S select (drop),185868.0,90.755859375,1.309757694826457,8.67132867132867,2016.0,1
2048,10,P1-A adaptive (compress),185868.0,90.755859375,1.9646365422396856,6.013986013986014,2024.0,1
4096,1,RAG store-all,18586.8,4.53779296875,17.812704649639816,28.11188811188811,4068.5,10
4096,1,P1-S select (drop),18586.8,4.53779296875,19.7773411918795,36.78321678321678,4077.3,10
4096,1,P1-A adaptive (compress),18586.8,4.53779296875,30.51735428945645,30.069930069930066,4041.6,10
4096,2,RAG store-all,37173.6,9.0755859375,8.382449246889326,14.965034965034965,4075.2,5
4096,2,P1-S select (drop),37173.6,9.0755859375,10.805500982318271,27.27272727272727,4059.0,5
4096,2,P1-A adaptive (compress),37173.6,9.0755859375,17.026850032743944,20.55944055944056,3913.8,5
4096,5,RAG store-all,92934.0,22.68896484375,3.4053700065487886,11.468531468531468,4067.5,2
4096,5,P1-S select (drop),92934.0,22.68896484375,4.9770792403405375,18.461538461538463,4076.0,2
4096,5,P1-A adaptive (compress),92934.0,22.68896484375,7.334643091028161,14.825174825174825,4079.0,2
4096,10,RAG store-all,185868.0,45.3779296875,1.6371971185330716,7.1328671328671325,4081.0,1
4096,10,P1-S select (drop),185868.0,45.3779296875,2.4230517354289454,12.867132867132867,4076.0,1
4096,10,P1-A adaptive (compress),185868.0,45.3779296875,3.6018336607727566,9.37062937062937,4094.0,1
