features,auc,ap,p1_strict,p1_answer,p3_strict,p3_answer,store_budget
hand features only,0.7460696874225337,0.4939822837918232,10.870988867059594,26.293706293706293,13.097576948264573,27.692307692307693,2048
hand+MiniLM,0.7928842214578704,0.5538522411325316,10.870988867059594,26.293706293706293,17.026850032743944,31.46853146853147,2048
