comparison,metric,delta,q_lo,q_hi,conv_lo,conv_hi,mcnemar_p,store_budget
P1-S select vs RAG,strict,1.9646365422396856,-0.6548788474132285,4.649639816633923,-1.4799154334038054,5.522954336410736,0.16188409130586082,4096
P1-S select vs RAG,answer,8.67132867132867,4.335664335664335,12.867132867132867,4.773138978421868,14.26584471163643,0.00011314966483154576,4096
P1-S select vs P1-A adaptive,strict,-10.740013097576949,-13.032089063523248,-8.447937131630647,-13.649736647235352,-7.9037586846207635,4.6791532717725374e-20,4096
P1-S select vs P1-A adaptive,answer,6.713286713286713,3.6363636363636362,9.79020979020979,4.239321465271353,9.539487693894019,3.57357465363098e-05,4096
P1-S select vs P0,strict,9.692206941715781,7.203667321545513,12.115258677144729,6.851211072664359,12.834233774622971,3.5655150555914286e-14,4096
P1-S select vs P0,answer,18.461538461538463,14.265734265734265,22.657342657342657,14.681319855018538,23.55845099667773,3.7913746880317927e-17,4096
